09:29:57.863 [main] INFO  c.t.task_apps.TaskAppsApplication - Starting TaskAppsApplication using Java 23.0.1 with PID 2372 (/Users/dotxbt/Documents/PROJECTS/Samir_BE_Test/task_apps/target/classes started by dotxbt in /Users/dotxbt/Documents/PROJECTS/Samir_BE_Test/task_apps)
09:29:57.867 [main] INFO  c.t.task_apps.TaskAppsApplication - No active profile set, falling back to 1 default profile: "default"
09:29:59.477 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9696 (http)
09:29:59.492 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9696"]
09:29:59.496 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:29:59.496 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
09:29:59.556 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:29:59.557 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1626 ms
09:30:00.140 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
09:30:00.609 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9696"]
09:30:00.633 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9696 (http) with context path '/'
09:30:00.645 [main] INFO  c.t.task_apps.TaskAppsApplication - Started TaskAppsApplication in 3.541 seconds (process running for 4.087)
09:49:57.179 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
09:49:57.194 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
09:50:02.708 [main] INFO  c.t.task_apps.TaskAppsApplication - Starting TaskAppsApplication using Java 23.0.1 with PID 2805 (/Users/dotxbt/Documents/PROJECTS/Samir_BE_Test/task_apps/target/classes started by dotxbt in /Users/dotxbt/Documents/PROJECTS/Samir_BE_Test/task_apps)
09:50:02.710 [main] INFO  c.t.task_apps.TaskAppsApplication - No active profile set, falling back to 1 default profile: "default"
09:50:04.046 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9696 (http)
09:50:04.059 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9696"]
09:50:04.061 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:50:04.061 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
09:50:04.118 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:50:04.119 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1341 ms
09:50:04.598 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
09:50:05.013 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9696"]
09:50:05.035 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9696 (http) with context path '/'
09:50:05.046 [main] INFO  c.t.task_apps.TaskAppsApplication - Started TaskAppsApplication in 2.998 seconds (process running for 3.464)
09:50:16.183 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
09:50:16.198 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
